City,Country Code,Lat [deg],Lng [deg],Temperature [C],Humidity [%],Cloudiness [%],Wind Speed (kph]
albany,au,42.6001,-73.9662,17.57000000000005,91,100,0.89
hermanus,za,-34.4187,19.2345,19.33000000000004,47,97,1.44
hobart,au,-42.8794,147.3294,4.82000000000005,78,40,1.79
bluff,nz,-46.6,168.3333,9.060000000000002,78,100,6.14
port alfred,za,-33.5906,26.891,21.32000000000005,30,8,3.16
mataura,pf,-46.1927,168.8643,6.939999999999998,84,100,3.05
ushuaia,ar,-54.8,-68.3,2.8100000000000023,93,75,1.03
port elizabeth,za,-33.918,25.5701,22.160000000000025,26,0,1.03
busselton,au,-33.65,115.3333,15.020000000000039,67,1,8.2
punta arenas,cl,-53.15,-70.9167,2.0600000000000023,87,90,5.14
rikitea,pf,-23.1203,-134.9692,21.07000000000005,60,3,0.92
new norfolk,au,-42.7826,147.0587,4.490000000000009,67,44,3.15
east london,za,-33.0153,27.9116,20.52000000000004,37,0,3.09
vaini,to,-21.2,-175.2,21.090000000000032,100,20,1.54
bredasdorp,za,-34.5322,20.0403,18.620000000000005,37,98,3.6
kaitangata,nz,-46.2817,169.8464,9.960000000000036,60,100,3.7
cape town,za,-33.9258,18.4232,19.30000000000001,27,0,1.03
saint-philippe,re,-21.3585,55.7679,22.99000000000001,72,34,5.33
chuy,uy,-33.6971,-53.4616,14.28000000000003,95,87,1.82
mar del plata,ar,-38.0023,-57.5575,11.610000000000014,64,90,5.36
tuatapere,nz,-46.1333,167.6833,8.580000000000041,88,98,3.28
souillac,mu,-20.5167,57.5167,24.210000000000036,64,40,5.66
kruisfontein,za,-34.0033,24.7314,22.710000000000036,21,27,4.74
avarua,ck,-21.2078,-159.775,22.03000000000003,88,75,2.06
cidreira,br,-30.1811,-50.2056,15.890000000000043,70,99,2.14
castro,cl,-24.7911,-50.0119,11.150000000000034,61,0,1.95
necochea,ar,-38.5473,-58.7368,10.860000000000014,98,100,0.72
dunedin,nz,-45.8742,170.5036,10.450000000000045,71,100,6.26
jamestown,sh,42.097,-79.2353,21.189999999999998,92,90,4.02
mount gambier,au,-37.8333,140.7667,10.950000000000045,87,75,5.66
coihaique,cl,-45.5752,-72.0662,2.9700000000000273,81,75,3.09
plettenberg bay,za,-34.0527,23.3716,18.930000000000007,27,58,0.19
mahebourg,mu,-20.4081,57.7,24.160000000000025,64,40,5.66
viedma,ar,-40.8135,-62.9967,4.53000000000003,85,93,2.3
esperance,au,-33.8667,121.9,14.910000000000025,71,61,7.4
saldanha,za,-33.0117,17.9442,20.03000000000003,43,98,8.27
arraial do cabo,br,-22.9661,-42.0278,19.920000000000016,83,20,5.14
te anau,nz,-45.4167,167.7167,8.28000000000003,89,98,1.49
ancud,cl,-41.8697,-73.8203,4.740000000000009,91,100,2.74
rocha,uy,-34.4833,-54.3333,13.950000000000045,97,100,1.66
hokitika,nz,-42.7167,170.9667,9.850000000000023,89,100,5.16
ulladulla,au,-35.35,150.4667,10.54000000000002,59,4,5.36
